ssn, secret
1,608
3,688
5,222
6,453
7,20
9,224
10,150
12,524
14,265
16,413
18,35
20,97
21,748
22,248
24,231
26,386
27,103
29,115
30,601
31,592
32,477
34,139
36,335
38,687
40,61
41,518
42,822
43,927
44,544
45,866
47,604
49,69
51,237
52,469
53,816
54,851
55,591
57,396
58,283
60,459
61,354
62,469
64,351
65,922
67,604
68,714
70,152
72,446
73,649
74,583
75,469
76,849
77,889
79,583
81,201
82,288
84,724
86,637
87,641
89,952
90,60
92,476
94,142
96,859
97,92
99,483
100,535
101,54
103,31
105,682
106,219
107,919
108,944
109,376
110,421
111,494
113,635
115,627
116,456
118,371
119,963
121,541
122,786
124,978
126,430
127,403
128,395
129,157
131,140
132,390
133,869
135,772
136,670
137,436
139,715
140,687
141,696
142,847
143,295
144,949
145,677
146,475
147,547
149,542
151,213
152,724
154,179
155,578
157,81
158,679
160,422
161,521
162,16
163,842
165,148
166,247
167,238
168,260
169,358
171,676
172,223
174,928
176,453
178,851
180,228
181,29
182,590
183,938
185,328
187,984
189,211
191,241
193,13
195,448
196,842
197,921
199,735
201,347
203,66
204,131
205,8
206,873
208,896
210,755
211,811
212,238
214,139
215,349
216,468
218,675
220,227
221,330
223,746
225,266
226,12
227,542
228,114
229,90
231,894
232,908
233,5
234,505
236,744
237,765
239,269
240,543
242,628
243,937
245,930
246,46
248,637
249,852
251,243
253,583
254,16
255,505
257,161
259,732
260,904
262,332
264,540
266,392
268,420
269,457
270,234
271,858
272,995
273,742
274,881
276,840
277,311
278,561
280,386
282,260
284,979
286,92
288,218
290,347
292,962
293,816
294,266
296,621
298,230
299,875
301,844
303,278
304,294
306,148
308,799
309,737
310,268
312,668
313,368
315,792
316,742
317,723
319,373
321,530
322,611
323,473
324,803
326,357
328,513
330,815
332,134
334,879
335,398
337,990
338,988
339,810
341,964
342,1
343,320
345,149
347,28
349,924
350,943
352,63
353,81
355,702
357,614
359,577
361,842
362,452
363,565
364,238
365,789
367,412
369,12
370,714
371,339
372,441
374,179
376,109
378,77
379,794
380,210
382,258
384,645
385,99
387,311
389,991
390,907
392,103
393,10
394,227
396,882
397,272
399,695
401,253
402,620
403,434
405,607
407,947
408,546
409,675
411,751
413,621
415,28
417,522
418,898
420,232
422,449
424,393
426,758
428,527
430,563
432,335
434,483
436,949
438,560
439,89
441,790
443,952
444,429
445,342
447,70
448,966
449,312
451,164
453,45
454,107
456,779
457,701
458,499
460,919
461,920
463,605
465,614
467,370
468,536
469,322
470,171
471,767
472,258
473,205
475,783
477,874
478,56
480,956
481,151
482,497
483,508
484,631
485,84
487,50
488,140
490,31
492,560
493,373
495,90
497,750
499,412
500,97
501,160
503,867
504,460
505,114
507,466
508,762
509,466
510,566
512,119
514,416
516,404
518,360
520,841
521,288
523,202
525,761
527,73
529,748
530,22
531,401
532,788
533,662
534,615
536,235
538,10
539,446
541,600
543,158
545,314
547,233
549,289
551,814
553,841
555,144
556,985
557,273
559,428
561,318
562,80
564,483
566,891
567,625
568,96
570,526
571,243
573,616
574,314
575,53
577,962
578,82
580,532
582,529
583,453
584,861
585,949
586,476
588,643
590,876
592,689
593,107
595,551
596,742
597,600
598,303
599,762
600,294
601,807
603,939
605,787
606,535
608,19
609,771
610,959
612,799
613,316
614,711
615,587
617,173
619,230
620,165
621,54
623,438
625,427
626,940
628,645
630,450
632,968
634,10
635,811
637,507
638,995
639,856
641,855
642,921
643,551
645,429
647,491
649,606
651,632
652,22
653,469
655,638
656,327
658,559
659,50
660,261
661,24
663,990
664,881
665,945
666,564
667,345
668,414
669,418
671,376
673,305
674,584
675,411
677,266
679,408
681,704
682,614
684,892
685,540
686,85
687,138
689,713
690,438
692,59
693,755
695,557
697,377
698,390
699,893
700,358
702,670
703,47
705,986
706,835
708,617
709,649
710,766
712,754
714,786
715,487
716,679
717,210
719,351
720,568
722,92
723,940
725,358
727,158
728,52
729,390
731,58
733,382
734,122
735,204
737,671
739,213
740,402
742,894
743,561
745,319
746,655
747,252
748,179
749,523
751,458
753,470
754,709
755,601
757,737
758,371
759,346
761,508
763,237
765,576
766,476
768,532
770,326
772,276
773,842
775,152
776,636
778,171
780,627
782,852
783,852
785,422
786,558
788,975
790,744
792,348
794,430
795,636
796,293
797,845
798,379
800,459
802,155
804,360
806,917
807,783
809,512
810,511
811,903
813,907
815,671
817,148
819,807
821,175
823,686
825,241
826,850
828,716
830,315
831,822
832,467
833,248
835,216
837,859
838,904
840,802
841,643
843,886
845,77
847,789
848,54
850,262
851,93
853,756
855,273
857,894
859,223
860,63
862,59
863,96
864,112
866,821
868,227
869,507
870,196
872,26
874,936
875,402
877,950
878,500
880,810
881,574
882,15
884,143
886,777
887,651
889,820
891,207
892,530
894,385
896,607
898,112
899,232
901,501
902,267
903,87
904,575
905,429
906,864
908,824
910,624
911,896
912,856
913,29
914,300
916,429
917,495
918,393
919,265
921,767
923,271
925,895
926,508
927,634
929,853
930,449
931,992
932,734
934,46
936,165
937,537
938,308
940,484
942,206
944,769
945,634
947,680
948,427
949,938
950,395
951,248
952,454
953,233
955,315
957,874
958,149
960,648
962,852
964,75
965,638
967,377
969,803
970,525
972,494
973,851
974,899
976,81
977,587
979,394
981,517
982,393
983,788
985,577
986,758
988,539
989,335
990,606
992,680
993,661
995,431
997,798
998,722
999,3
1000,745
1002,612
1004,186
1005,138
1006,622
1008,30
1010,639
1012,373
1013,112
1015,366
1016,351
1017,80
1018,352
1019,877
1020,783
1022,361
1024,111
1026,920
1028,680
1029,954
1030,647
1032,177
1033,122
1035,321
1036,465
1038,928
1040,293
1041,768
1042,869
1043,553
1045,161
1047,770
1049,581
1051,316
1052,587
1054,791
1055,560
1056,965
1058,820
1060,447
1061,67
1062,492
1063,88
1064,118
1065,372
1067,800
1069,345
1071,519
1073,185
1075,784
1077,723
1078,873
1079,203
1081,571
1083,642
1084,38
1086,731
1087,990
1089,39
1091,154
1093,690
1094,177
1095,918
1097,548
1099,413
1100,820
1101,225
1102,120
1103,389
1105,983
1107,917
1109,486
1111,983
1112,261
1114,255
1116,142
1118,655
1119,863
1120,477
1122,759
1124,857
1126,191
1127,52
1128,470
1130,418
1131,632
1132,148
1134,939
1135,613
1137,665
1138,626
1139,953
1140,180
1142,226
1144,458
1146,905
1148,436
1150,640
1152,6
1153,187
1154,843
1155,575
1156,127
1158,86
1159,536
1160,152
1161,894
1163,537
1164,46
1165,376
1166,15
1167,114
1169,132
1171,444
1173,493
1174,489
1176,233
1177,213
1178,218
1180,495
1182,937
1184,732
1186,348
1188,162
1190,945
1191,871
1192,593
1193,723
1194,786
1196,635
1197,312
1198,6
1200,288
1202,139
1204,669
1205,18
1206,242
1208,495
1210,774
1211,738
1212,742
1213,145
1214,23
1216,421
1217,10
1219,740
1221,646
1222,145
1224,438
1226,666
1227,725
1228,967
1229,546
1230,171
1231,493
1232,756
1233,298
1235,904
1237,605
1239,515
1240,774
1241,418
1242,96
1244,701
1245,643
1246,804
1248,59
1250,460
1252,2
1254,959
1255,575
1257,510
1258,691
1260,84
1261,561
1263,549
1265,576
1266,485
1268,822
1269,581
1270,618
1272,308
1274,906
1275,670
1277,241
1278,333
1279,188
1281,169
1283,226
1284,910
1285,597
1286,841
1288,29
1289,920
1290,820
1292,254
1293,502
1295,492
1297,644
1298,729
1299,533
1301,866
1303,958
1304,793
1306,405
1307,765
1308,606
1310,714
1312,85
1313,209
1315,250
1317,990
1319,115
1321,15
1322,143
1323,699
1324,832
1326,320
1327,693
1329,220
1331,193
1333,806
1334,897
1336,34
1337,898
1339,766
1340,647
1342,481
1343,49
1345,643
1347,402
1348,863
1349,272
1350,769
1352,462
1353,900
1355,304
1357,340
1358,445
1360,259
1362,468
1363,166
1364,904
1365,151
1367,186
1368,772
1370,725
1372,189
1374,737
1376,633
1378,577
1379,62
1380,470
1381,420
1383,272
1385,658
1386,583
1387,663
1388,740
1390,359
1392,56
1393,344
1394,571
1396,146
1397,474
1399,284
1400,450
1402,363
1404,639
1405,782
1406,68
1408,989
1410,380
1412,920
1414,453
1415,752
1417,233
1419,124
1420,760
1421,696
1423,738
1424,655
1426,204
1428,803
1429,660
1430,542
1431,172
1432,883
1434,515
1436,182
1438,216
1439,662
1441,727
1443,835
1445,853
1446,7
1448,464
1450,510
1451,370
1452,273
1453,702
1454,619
1455,212
1456,399
1457,110
1458,910
1460,732
1462,589
1463,164
1464,925
1466,912
1467,665
1469,481
1470,656
1472,120
1474,314
1475,445
1477,75
1478,406
1480,162
1481,603
1482,421
1484,993
1485,502
1486,451
1488,790
1490,336
1491,570
1493,544
1495,40
1497,847
1498,932
1500,275
1501,840
