ssn, secret
2,5
3,966
5,170
7,345
8,733
10,60
12,25
13,786
15,494
16,561
17,274
18,689
19,377
20,805
22,328
23,100
24,378
26,762
27,34
29,818
31,668
32,742
34,144
36,45
37,958
38,769
39,594
40,585
42,26
44,598
46,779
48,782
49,507
50,237
51,868
52,768
54,411
55,489
56,731
58,501
60,560
61,200
63,35
65,28
66,596
67,218
68,382
70,363
71,59
73,465
74,200
76,633
78,999
80,670
81,537
83,41
85,868
86,370
88,202
89,863
91,626
93,300
95,539
96,795
98,387
100,720
102,491
103,727
104,323
105,472
107,335
109,576
111,895
112,83
113,429
115,682
117,886
118,284
119,704
121,118
122,393
124,25
126,777
127,570
129,609
131,908
133,578
135,764
137,23
139,401
140,842
141,82
142,988
144,511
146,688
148,714
150,741
151,309
153,165
154,801
156,775
158,405
160,218
161,6
163,14
165,436
166,324
167,844
169,227
171,670
172,825
174,960
176,86
178,363
179,377
181,171
182,310
183,593
184,600
186,188
187,456
189,194
191,133
192,566
194,701
195,767
197,985
198,361
200,386
202,84
203,890
204,974
206,311
208,227
210,168
212,726
214,805
215,495
217,898
218,491
220,478
222,43
224,343
225,940
227,432
228,761
230,881
231,304
233,425
235,623
237,601
238,916
239,592
240,326
242,507
244,310
246,960
247,946
249,347
251,33
252,938
254,212
256,967
258,273
259,87
260,665
261,599
263,790
264,44
265,418
267,842
268,39
269,33
270,111
272,598
273,962
275,912
277,173
279,383
281,348
282,909
283,947
285,844
286,400
288,820
289,381
290,359
291,962
293,878
295,693
296,79
298,406
299,806
300,944
301,670
302,998
304,86
305,688
307,337
308,206
309,207
311,201
313,905
314,232
315,223
317,21
319,684
320,740
321,160
323,696
324,929
326,867
328,423
330,954
331,362
333,982
334,300
336,752
337,630
338,591
339,590
340,217
342,945
343,660
344,486
345,270
347,780
348,603
350,410
352,263
354,844
355,938
356,308
357,45
358,674
360,168
361,578
362,650
364,57
366,131
367,571
368,400
370,340
371,800
373,611
374,719
375,244
377,760
378,193
380,636
381,546
383,40
384,918
386,73
388,508
390,887
392,455
394,178
396,621
398,934
400,213
401,496
403,421
404,754
405,586
406,44
408,390
409,191
410,108
412,742
414,235
416,222
418,746
420,785
422,302
424,613
426,119
428,877
430,209
432,83
433,763
434,873
436,504
438,272
440,237
441,869
443,163
444,833
446,397
448,653
450,431
452,733
454,515
455,769
456,427
457,750
458,361
460,398
461,672
463,174
465,256
466,55
468,424
469,469
471,295
472,161
474,355
475,847
476,776
478,388
479,46
481,396
482,15
483,513
485,852
487,407
489,68
490,185
492,663
494,956
495,210
496,745
497,341
498,434
500,186
502,413
503,940
504,935
506,186
507,266
508,755
509,867
511,82
512,736
514,474
515,997
517,167
518,667
519,661
520,127
521,950
523,345
525,432
526,751
527,223
529,245
531,405
532,896
534,267
536,422
538,705
540,515
541,136
542,649
543,168
544,719
545,791
546,39
